ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_0_REP_2	TP_3_REP_1	TP_3_REP_2	TP_6_REP_1	TP_6_REP_2	TP_9_REP_1	TP_9_REP_2	TP_12_REP_1	TP_12_REP_2	TP_15_REP_1	TP_15_REP_2	TP_18_REP_1	TP_18_REP_2	TP_21_REP_1	TP_21_REP_2	TP_24_REP_1	TP_24_REP_2	TP_27_REP_1	TP_27_REP_2	TP_30_REP_1	TP_30_REP_2	TP_33_REP_1	TP_33_REP_2	TP_36_REP_1	TP_36_REP_2	TP_39_REP_1	TP_39_REP_2	TP_42_REP_1	TP_42_REP_2	TP_45_REP_1	TP_45_REP_2
sub_680	0.00404496	0.01223139748373102	25.276098	16.091263915110456	0.14269690599644916	0.061298256687323034	0.96024215	0.4970327660665028	0.107087042	0.2655562174	-0.0103599646	0.1296309969	-0.1503372021	0.4094491971	0.0395623601	0.1006627087	0.3781647585	0.247246005	0.3387902795	0.3594112671	0.4877252528	0.2878939668	0.0958183369	0.1851341115	0.0467860731	-0.3467837704	0.0181303014	-0.2153032776	-0.0278622466	-0.2447291447	-0.3460329633	-0.1341265372	-0.0371078726	0.1338302487	0.1349923207	0.1217786686	0.1160309284	0.0757717331	0.0885831895	-0.0232293593
sub_681	0.13147875999999997	0.1758938497504798	26.511028	17.29938091495675	0.4734318708806432	-0.19275898378702386	0.93736356	0.6836952071608982	-0.687329094	-0.467451342	-1.950653252	-0.666178422	-1.022805715	-0.427011067	-0.139520446	0.009260212	0.138456765	0.104964297	-0.167999715	0.635561623	0.646031335	0.360976051	1.060651752	0.031205842	-0.356161223	-0.324773776	-0.573929846	0.471666044	0.042766095	-0.475909611	-0.693350829	-0.068251027	-0.642867328	-0.175473009	-0.555311086	0.402384662	-0.022006282	0.454150042	0.905866919	-0.636513523
sub_682	0.16032016	0.20945295505154637	27.022581	2.5804664143442726	0.10328516185508661	-0.034450562017256596	0.20896901	0.702205514502879	-0.1193496096	0.1164035505	0.0953332419	-0.0129877748	0.0864964567	-0.1785707084	0.071458895	-0.1439827389	-0.2037468395	-0.0723013802	-0.0741983498	-0.1654351511	-0.0302242414	-0.2054950955	-0.1351565722	5.92268000000004e-05	0.0383241502	0.1061740426	0.0666558086	0.0541160285	0.0404560657	0.0207206522	0.3775562723	0.0350538803	-0.0325563945	0.0146675529	-0.1184038848	0.0064013869	-0.1523995685	-0.1838369213	-0.3873846449	-0.0655335701
sub_683	0.011773317136614381	0.026343505759936513	23.728844	15.106251067814718	0.09291829476896522	0.08468211268334722	0.08282666	0.3900201941296206	-0.2132831113	-0.2970800955	-0.2261718471	-0.2136165839	-0.143318477	-0.076599584	-0.0635949996	0.0572985954	-0.0247598414	0.1029019298	0.1017926827	0.1713935702	-0.0351059886	0.2218656734	0.0602517464	0.2446731217	0.0618660605	0.0302331717	0.0858529825	0.0305216395	0.205749115	0.0071096875	0.1234694631	0.2227658973	0.1378532287	0.1481580607	0.1757146772	0.1985468202	0.2238869349	0.1013160563	0.1800777824	0.0074860789
sub_684	0.017187209999999998	0.035389912466765136	24.928911	4.761071333793899	0.1654350023020588	-0.167473974427521	0.43567362	0.5580158070006366	0.2962605585	0.0908335132	0.4416542637	0.0102007301	0.2912929299	0.0211252345	0.4673696302	-0.00155973880000001	0.0338391791	-0.038358465	-0.4085642497	-0.1942438778	-0.4060121095	-0.2292600182	-0.4955367146	-0.3627942492	-0.25003065	-0.1217687152	-0.3705960878	0.0415095631	-0.2555276088	0.0350767165	0.0160296449	-0.1410335245	-0.54884338	-0.2526172144	-0.5605141826	-0.2409729585	-0.3581352679	-0.1949024623	-0.4733480592	-0.1546694424
sub_685	0.016486559999999997	0.03425076697466468	25.652458	4.490987075897052	0.11964840003035851	-0.006793073000763747	0.08610858	0.5560216712840391	0.4343186421	0.136676076	0.3224389472	0.1236636213	0.338364773	0.1028701687	0.3405536196	0.2050202741	0.0857646549	-0.064562734	-0.006985533	-0.1614995338	-0.1671072668	-0.2813502152	-0.0606766043	-0.2839290769	-0.028989596	-0.0365888612	-0.0684976616	-0.0197948872	-0.0638648533	0.0994698021	0.0410655682	0.0295822405	-0.1079164569	0.0397515684	-0.1708779054	-0.0244046464	-0.1591791419	0.1036084907	-0.1072173071	0.2296663334
sub_686	0.036585054422464604	0.06176076496368039	25.537214	3.2514991082620823	0.16363392643703306	-0.03248482230899852	0.023807906	0.3477978845896188	0.703405024	0.4965582092	0.5701296219	0.421308415	0.5102563393	0.3755296863	0.4221630501	0.0702241861	-0.1055412192	0.1031371018	-0.1907693178	0.0307223022	-0.2810335524	-0.0543446307	-0.1912960298	-0.0033121844	-0.1274902121	-0.0413937581	-0.0906093358	-0.1099821851	-0.1549430585	0.0164974278	-0.0559025125	0.0435048928	-0.3080273969	-0.0375302061	-0.3224332716	-0.2078571947	-0.3459777026	-0.0779511801	-0.1866988756	-0.0210167124
sub_687	0.02439844	0.04601034196914764	26.162846	16.23939019728413	0.13297739366790712	0.24983830438764335	0.3579363	0.574286813963068	-0.030968315125	-0.11299489925	-0.181649069375	0.061109130125	-0.131372892625	0.207145895125	-0.108673278125	0.29045827175	0.464131806	0.295620396375	0.368922486375	0.253536706875	0.37712142875	0.39618664275	0.286248314	0.329594612625	0.292481719	0.265324361875	0.400492873875	0.16944321675	0.031868381125	0.20942820975	0.108814700625	0.378189624375	0.449771498875	0.35575807075	0.404771009625	0.145758912875	0.309156944625	0.38474438575	0.4823842105	0.229102808375
sub_688	0.024712783231246233	0.046365571768986875	25.497313	15.826290976155299	0.07002028382755447	0.08121022640443315	0.03729531	0.31545968832940713	-0.0978246909	-0.177330749	-0.1004158525	-0.1086833865	-0.0419577614	-0.0152648186	-0.0106980341	0.070722849	0.1017894732	0.0608209643	0.1399420595	0.1066970648	0.2660435106	0.1294137511	0.1690887472	0.1345585542	0.110354494	0.0714650367	0.1453003484	0.0764316189	0.098057214	0.0724953664	0.0858014344	0.1163266437	0.2211381068	0.1231440728	0.2089167698	0.0616064293	0.1624477861	0.0950711529	0.1253905442	0.1330265113
sub_689	0.0005223196044967858	0.0030598589211618256	25.652208	14.289365148322622	0.17290219007956725	-0.03029000160594457	0.6130609	0.3033971051322616	-0.5729699929	-0.5555905033	-0.4576079593	-0.4386423711	-0.3070069211	-0.3078354731	0.0251454472	-0.0726205295	-0.2250513741	0.0242492093	-0.2032218957	0.0733646413	-0.3306888502	0.1213882259	-0.22332368	0.0443549974	-0.0950736918	-0.007693428	-0.1139701379	-0.0683341399	0.0189585172	-0.1369106139	0.1459434157	0.1397604855	0.0250496278	0.192027199	0.1748074172	0.3234392475	0.1751485932	0.2421487595	0.1480325754	0.1106551355
