ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_1_REP_1	TP_4_REP_1	TP_7_REP_1	TP_10_REP_1	TP_13_REP_1	TP_16_REP_1	TP_19_REP_1	TP_22_REP_1
sub_48	0.16086464303403383	0.36217452062548644	25.1965	18.847693943104478	0.15711017239391822	10.383164636615444	0.32051826	0.0	10.62957657	10.16257578	10.16463681	10.25104999	10.32411667	10.37216054	10.50229851	10.50951932	10.53131122
sub_49	0.27510082784971346	0.4359857667944006	25.4835	5.678154883797834	0.0763502866091482	9.868674413525303	0.13014694	0.0	9.808280215	10.02998142	9.938581798	9.867643079	9.920078826	9.851244182	9.816406976	9.754252237	9.746818721
sub_50	0.4868216231514894	0.6186883885785459	26.931574	16.287913803957263	0.08906374552735258	10.957071876344632	0.031067962	0.0	10.8387283	10.87593523	10.86458801	10.98526272	11.00454156	11.01431721	10.99815838	11.09875814	11.05309538
sub_51	0.6889549281822684	0.7709123917578543	26.11159	2.90905197103579	0.054830660250501165	4.912325151454909	0.010655397	0.0	5.240195078	4.9777347435	4.9507368385	4.942666521	4.952850132	4.8645850575	4.8979280645	4.836651594	4.743157927
sub_52	0.8304853888063398	0.8590244056038085	27.052034	3.8749184927629416	0.23422245167164873	12.17789639213924	0.005020083	0.0	12.47211748	12.37985273	12.21351184	12.23959841	12.21730464	12.07554838	11.95596416	11.84389425	11.86256266
sub_53	0.17888983230736574	0.3662982280579394	27.04441	1.2912754940394802	0.1700030692003578	9.747868826679467	0.27802545	0.0	10.08184856	10.03881419	9.828459347	9.729653524	9.673542734	9.719263997	9.700280145	9.646206206	9.622804019
sub_54	0.05289039835845185	0.32961862308073303	25.327662	11.286863075477852	0.16030336698772968	10.370398030220645	0.6744523	0.0	10.1821295595	10.23623717	10.45076624	10.56860936	10.48393678	10.48080483	10.433056325	10.41559915	10.29853721
sub_55	0.05055543762824595	0.32961862308073303	25.125105	12.396232387725709	0.11777003248551202	13.208500688729782	0.68458384	0.0	12.8558888	13.04919473	13.19870091	13.29502341	13.30575099	13.29315341	13.25260316	13.23862329	13.19135341
sub_56	0.5250477605603906	0.6530552724325519	26.606531	16.514787704870923	0.2501220035667602	11.656698756206785	0.02506163	0.0	11.43959848	11.40122329	11.49986473	11.71060226	11.7150045	11.78845895	11.87846818	11.86496738	11.98941841
sub_57	0.6825514752706432	0.7665969927479985	26.52541	5.0659800852621615	0.06653610398407092	13.730519735605295	0.011032123	0.0	13.82049798	13.78465175	13.76395204	13.76950699	13.75791152	13.7148532	13.67385198	13.64618981	13.58189211
sub_58	0.045602490624778884	0.32961862308073303	25.312555	8.460098430773916	0.20992691145697218	12.092368039625333	0.7064911	0.0	11.7771719	12.11058609	12.24261751	12.28865757	12.13961881	12.09855018	12.03508539	11.92862957	11.87984449
sub_59	0.3427616217363617	0.49899222932381604	26.75458	15.329244905221074	0.23428252489756746	10.584446966658643	0.07849252	0.0	10.16667332	10.32946739	10.40145008	10.61022242	10.65797729	10.66545705	10.73613633	10.79701802	10.71654935
sub_60	0.6103445835986698	0.7120686808651148	26.8426	2.5632794727319856	0.07823113800376606	11.361037653865646	0.015867522	0.0	11.540065576	11.4259011695	11.4361031775	11.345343805	11.358427235	11.312128232	11.2828070255	11.2772130545	11.2658997355
sub_61	0.05759569801174556	0.32961862308073303	23.883379	11.023357686145959	0.10063624800629378	9.359629115875501	0.65490305	0.0	9.063191092	9.27035353	9.400209063	9.402272202	9.536247374	9.386195584	9.385651696	9.35318938	9.343845426
sub_62	0.04981249557772589	0.32961862308073303	24.39245	11.646537133690373	0.1521872293019253	9.242663628814775	0.68738747	0.0	8.309367555	9.0490846785	9.2055438715	9.2982508715	9.387757355	9.277904309	9.2292623335	9.207158391	9.109925823
sub_63	0.9095025826080804	0.9186586488759471	26.903826	2.9973138004384365	0.14228329414024385	10.535039766026014	0.0030007802	0.0	10.7634279146667	10.6583840696667	10.6773512896667	10.515914098	10.4976038546667	10.5349682143333	10.4753358376667	10.4172650293333	10.377770053
