ID	ZT0_REP1	ZT4_REP1	ZT8_REP1	ZT12_REP1	ZT16_REP1	ZT20_REP1	ZT24_REP1	ZT28_REP1	ZT32_REP1	ZT36_REP1	ZT40_REP1	ZT44_REP1	ZT48_REP1
sub_731	587.448	699.343	607.234	488.84	568.758	533.017	652.483	640.351	599.656	550.41	536.278	532.854	601.222
sub_732	128.627	179.36	222.378	206.845	212.192	171.966	151.807	175.551	210.267	190.705	222.155	216.485	202.907
sub_733	103.347	140.298	129.786	123.424	146.7	124.327	69.5674	111.722	153.421	117.009	142.299	156.195	105.88
sub_734	1574.57	1297.8	1149.08	989.096	1167.6	1569.69	1387.99	1209.33	1214.95	1189.77	1215.83	1290.45	1322.29
sub_735	1087.5	1120.21	1247.13	1409.65	1404.43	1326.35	1230.85	1135.34	1059.96	1353.14	1390.86	1374.75	1198
sub_736	213.958	237.734	190.923	196.148	184.116	173.984	228.613	216.678	180.965	175.881	185.728	170.201	210.279
sub_737	286.775	242.806	219.532	207.913	276.286	291.923	296.205	286.987	253.234	207.117	260.417	263.442	291.411
sub_738	93.2214	110.832	123.176	115.691	110.311	106.651	95.3421	108.366	124.938	112.539	105.02	119.677	89.3593
sub_739	1278.18	1273.39	1486.29	1372.58	1189.63	1528.09	1326.83	1335.77	1642.98	1391.53	1248.32	1113.04	1282.36
sub_740	581.925	934.197	674.009	846.776	627.395	483.453	816.817	614.046	646.35	728.048	817.628	576.698	865.154
sub_741	1993.95	2147.75	1793.44	1149.45	1956.34	2057.85	2346.46	2268.86	1930.96	1410.69	1705.02	1866.42	2010.72
sub_742	1547.05	1160.37	969.044	950.573	974.439	1185.54	833.576	999.834	1045.62	882.15	832.263	876.636	809.804
sub_743	446.659	559.826	513.085	532.873	462.656	416.998	491.157	501.28	529.83	528.624	481.671	432.922	514.866
sub_744	1496.3	953.14	574.042	478.424	960.584	998.492	914.066	897.123	520.479	521.361	452.395	714.845	924.359
sub_745	1218.28	1037.7	817.462	867.28	1062.14	1165.72	1108.43	1018.46	854.51	885.074	988.92	935.488	1022.67
sub_746	1953.64	1687.12	1552.49	1621.98	1830.14	2133.15	1818.57	1719.5	1505.37	1462.43	1578.25	1781.64	1901.63
sub_747	1402.83	968.885	792.632	950.338	959.06	1247.84	921.88	804.512	801.592	857.712	928.183	866.322	906
sub_748	448.203	630.161	639.343	740.572	448.032	360.308	487.513	617.235	747.757	704.704	421.2	431.251	490.135
sub_749	857.811	668.48	785.099	698.272	668.938	1009.32	724.165	724.683	833.742	735.589	731.828	688.659	762.986
sub_750	95.6663	118.47	134.944	139.111	123.67	107.036	113.575	121.668	122.786	134.435	131.541	115.02	117.306
sub_751	786.488	802.37	778.93	661.278	736.143	715.522	822.166	777.022	777.169	654.695	767.613	713.354	790.762
sub_752	860.451	782.493	739.121	706.407	794.818	892.165	950.326	843.856	770.398	690.312	773.318	848.105	847.118
sub_753	831.843	836.232	864.555	842.046	821.719	820.446	825.643	862.986	851.502	868.457	827.594	824.43	809.71
sub_754	1030.14	1013.25	1479.15	1320.8	909.993	1010.75	989.66	1060.03	1243.97	1426.43	1169.77	864.865	949.065
sub_755	2134.36	2181.57	1927.62	2154.88	2737.29	2592.29	2525.82	2207.8	2031.62	2198.52	2462.11	2463.27	2618.37
sub_756	831.546	846.657	969.732	856.052	808.038	697.91	899.859	1066.33	922.512	1155.93	789.054	799.049	896
sub_757	4134.31	4798.53	4714.03	4664.52	4454.28	3419.15	4067.25	4801.76	4257.65	5133.11	4509.37	3678.94	3747.25
sub_758	4594.63	4004.24	4204.92	3636.09	3369.35	3666.73	3968.67	4037.42	3617.78	3874.4	3475.51	3090.07	3869.93
sub_759	1944.56	1893.12	1579.4	1735.22	1749.13	1758.04	1940.85	1973.8	1594.94	1681.98	1751.72	1806.03	1850.22
sub_760	562.163	648.438	945.103	835.969	508.397	467.066	529.5	622.976	687.441	805.437	597.949	487.364	572.083
sub_761	1922.28	1679.38	2185.73	1967.04	1767.47	2232.71	1790.56	1891.68	2260.77	2256.4	2206.89	1564.44	1888.76
sub_762	106.354	144.44	172.169	160.84	150.005	127.795	117.446	121.353	161.11	141.783	140.961	140.677	122.798
sub_763	434.184	673.798	789.11	739.073	552.627	516.302	524.718	659.078	680.24	674.022	620.387	621.272	517.887
sub_764	275.521	302.437	348.357	282.499	277.472	290.013	308.425	317.386	335.65	306.747	295.029	276.359	250.699
sub_765	285.971	330.308	343.187	302.634	260.409	239.818	309.596	305.138	291.473	307.476	272.256	216.643	261.814
sub_766	414.734	551.04	588.548	573.947	565.218	503.543	544.914	515.53	613.344	574.879	555.214	557.316	542.279
sub_767	882.802	843.6	762.048	814.982	876.787	1030.31	882.874	798.82	842.651	787.512	924.458	905.712	851.915
sub_768	543.56	480.62	369.28	391.1	571.198	699.769	556.985	477.831	411.59	412.789	386.533	632.957	540.005
sub_769	6149.62	7796.94	8159.75	7959.8	7319.59	6524.68	7256.15	7640.05	8692.23	7907.41	7401.01	7211.72	6745.1
sub_770	1368.39	1198.75	1062.1	1105.41	1252.99	1380.14	1288.18	1239.87	1092.8	1148.48	1151.51	1188.24	1222.59
sub_771	1522.4	968.388	880.091	1043.04	1627.41	1631.15	1288.96	1002.83	774.437	848.504	1274.41	1363.04	1414.04
sub_772	2420.84	3998.14	4931.29	5551.33	3849.42	3282.59	3477.37	3973.51	4721	4717.7	3662.29	3959.01	3251.96
sub_773	389.023	376.196	285.004	257.556	395.116	365.985	406.489	358.256	278.579	251.57	289.349	419.25	391.607
sub_774	811.941	793.017	748.642	810.867	760.335	809.606	828.526	774.261	723.544	820.934	794.057	819.683	821.871
sub_775	2844.4	2904	3885.09	3503.93	2738.03	3070.55	2636.67	2889.27	3392.09	3531.73	3254.82	2921.39	2488.23
sub_776	978.115	1085.42	903.997	867.406	887.549	909.469	1016.93	1074.44	977.846	901.489	778.735	826.817	882.298
sub_777	730.325	803.917	874.616	708.23	793.728	790.655	909.012	854.24	920.146	724.556	797.466	789.993	766.147
sub_778	928.426	1324.72	1853.3	1640.67	1169.79	1146.41	1485.88	1475.99	1784.35	1745.57	1511.36	1282.2	1166.85
sub_779	660.853	620.513	708.715	800.163	569.679	701.435	563.615	612.899	752.941	754.852	641.136	604.06	604.371
sub_780	766.227	652.474	535.783	562.084	663.707	772.172	634.579	617.202	544.777	530.223	553.35	617.43	593.853
sub_781	1852.05	1643.25	1563.16	1454.14	1489.06	1444.82	1782.52	1580.72	1506.24	1534.52	1378.76	1456.62	1671.44
sub_782	151.063	216.162	210.942	222.618	230.406	194.458	212.077	220.924	211.223	235.246	227.662	242.742	221.468
sub_783	1651.82	1866.2	1976.53	1979.95	1616.77	1710.83	1856.39	1951.63	1943.66	1949.83	1714.34	1605.5	1884.8
sub_784	1917.34	2033.15	1825.51	1717.53	1900.77	1795.03	2049.41	1957.37	1659.07	1906.75	1826.42	1947.48	1887.78
sub_785	1747.04	1585.28	1430.91	1231.27	1295.25	1413.41	1512.7	1386.34	1220.32	1387.36	1370.09	1303.75	1443.39
