ID	ZT0_REP1	ZT1_REP1	ZT4_REP1	ZT7_REP1	ZT10_REP1	ZT13_REP1	ZT16_REP1	ZT19_REP1	ZT22_REP1
sub_199	6.902685654	6.739628048	6.732195068	6.748011546	6.707646438	6.671103319	6.674696243	6.593883332	6.557244551
sub_200	8.967987907	9.037065335	8.971279649	8.77630733	8.754006472	8.707471726	8.648595499	8.61375821	8.629687953
sub_201	8.621612281	8.835790949	8.729308653	8.846362742	8.871863697	8.9133435	9.017480776	8.896001163	8.975266386
sub_202	7.152364667	7.287634946	7.455020521	7.334154714	7.490978482	7.727730763	7.662493383	7.752058069	7.668225941
sub_203	10.33004922	10.28814678	10.3246692975	10.2303109535	10.2308128185	10.144570697	10.1611374715	10.0987274345	10.078769234
sub_204	10.53278893	10.56811809	10.44263635	10.61113302	10.62769632	10.74034655	10.76940236	10.74194482	10.83061852
sub_205	7.045220777	7.502106907	7.98823436	8.231580474	8.262785215	8.231580474	8.573249614	8.386274125	8.468975784
sub_206	13.99047997	13.79140922	13.97412975	13.97513816	14.0311294	14.07309308	14.10375284	14.17767192	14.13795579
sub_207	10.723170699	10.5223055116667	10.7099742923333	10.5799551193333	10.382260743	10.287290159	10.1811982646667	10.134326642	10.1325070633333
sub_208	10.21067697	10.24306468	10.24163	10.26953794	10.24801016	10.27202456	10.36153396	10.42375368	10.31511183
sub_209	8.789989617	8.4671729	8.345682473	7.968457922	7.959554713	8.049953569	8.216309528	8.228498926	8.311720913
sub_210	10.47118161	10.48032269	10.61656657	10.60766908	10.71311665	10.73863321	10.77998459	10.85238337	10.6702799
sub_211	11.367298295	11.209013825	11.329531	11.15550381	11.14611601	11.1502753	11.02938633	11.10812443	10.980123735
sub_212	9.3863620995	10.322976426	10.487160343	10.5366968455	10.558049603	10.721005488	10.7082157945	10.667507071	10.7791755955
sub_213	8.67630342	9.416626784	9.694294737	10.06820706	9.874539396	9.837116113	9.722574361	9.704624531	9.62973661
sub_214	10.26459554	9.648226092	9.382826893	9.035004822	9.338850586	9.531005418	9.579644836	9.599512151	9.702126694
sub_215	10.1328465063333	10.175271174	10.5910944766667	10.69034329	10.7101477433333	10.69088356	10.64847046	10.62436126	10.4803351033333
sub_216	11.05126974	11.24846672	11.04361282	11.03507846	11.01921801	10.98429273	10.98846561	10.96624193	10.96489856
sub_217	12.59056662	12.97397979	13.18476933	12.91521169	12.54819866	12.23312252	11.9276009	11.71608453	11.69272916
sub_218	11.25011242	11.81237326	12.16774444	11.76229368	11.59236773	11.52832786	11.38257441	11.36660518	11.34110904
sub_219	13.16933648	13.56948722	13.57656467	13.57717202	13.5857486	13.57012375	13.53458536	13.53000219	13.48706209
sub_220	10.41457385	10.19491737	10.1536921	10.04048411	10.05763974	10.02494036	9.991776753	9.920681837	9.925514812
sub_221	10.4340156845	10.5992258415	10.556021761	10.6481396115	10.6238466015	10.696489494	10.6929583215	10.706519311	10.7313027625
sub_222	9.790949789	9.579996663	9.6431923065	9.0600833965	8.872253857	8.8198382235	8.796456369	8.79612192	9.031518425
sub_223	12.08815767	11.98464046	11.99735326	11.96772383	11.94019808	11.92702373	11.95656467	11.91572063	11.91935666
sub_224	11.73709353	10.66216906	9.92418133	9.674569063	9.772954784	9.871269506	10.00725598	10.01217533	10.15003127
