ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1240	17.9212	20.832	13.7263	23.7884	22.4047	26.1754	16.4241	27.8319	19.073	20.6487	18.6577	20.9776	28.9603	17.8154	13.7012	26.4136	22.6873	29.9685
sub_1241	31.6971	36.9755	33.111	31.0279	18.998	33.3462	27.9443	34.6812	28.1121	29.8923	31.4151	37.4983	30.8864	27.862	27.7089	24.8176	35.341	34.6303
sub_1242	547.084	552.163	529.478	591.142	411.766	512.93	532.347	591.562	608.601	517.841	549.702	485.005	589.738	487.509	495.204	574.347	581.096	487.834
sub_1243	47.3994	37.3519	33.8831	41.4787	51.3165	49.1422	49.9056	50.2878	43.1428	36.4654	47.7198	52.143	43.4526	46.4545	36.3025	51.2015	49.9171	55.1712
sub_1244	126.647	125.252	134.8	140.792	136.11	122.161	124.866	111.992	118.124	148.411	129.75	99.1864	134.79	102.929	145.859	122.655	122.781	115.428
sub_1245	50.7234	32.7071	29.2544	45.8524	47.6322	41.5965	40.7925	37.7915	39.9878	38.1611	45.0137	44.6513	26.8391	47.6492	51.2694	44.7011	38.6162	58.4762
sub_1246	166.613	149.088	147.127	129.699	142.361	183.543	169.968	173.604	152.54	158.974	149.534	170.739	144.796	148.294	175.182	184.117	155.978	170.46
sub_1247	248.048	278.966	276.769	255.834	190.598	322.122	193.442	317.297	339.81	246.073	219.789	215.451	352.156	263.548	255.814	266.039	226.079	259.827
sub_1248	427.465	467.52	436.478	455.491	283.185	418.659	377.717	440.904	456.504	387.489	376.31	399.432	465.53	378.327	429.628	432.168	352.188	349.542
sub_1249	61.4972	46.9326	60.2748	47.5478	51.7645	48.4141	56.7135	47.7161	43.6084	59.4255	58.3214	64.664	33.8168	54.8614	40.1481	48.1668	53.8845	58.9379
sub_1250	23.3246	17.4717	21.0157	21.386	18.3124	20.4889	22.5806	19.7315	20.623	16.835	21.4815	17.3992	21.0826	25.0127	17.1052	18.4358	15.8944	19.7707
sub_1251	10.5742	8.28905	4.67254	6.18098	8.43335	10.525	7.94263	6.97458	7.99574	8.48358	10.3332	8.86609	6.29212	8.04765	8.89874	6.95316	11.0089	10.4946
sub_1252	75.5982	75.8383	75.2394	81.9297	63.1843	82.6322	85.1158	88.7086	64.1718	78.8502	81.4579	78.7764	56.2831	88.5571	80.0863	77.65	83.9106	96.7381
sub_1253	53.0386	51.9496	59.2107	44.3713	46.3777	61.3888	52.1963	50.6224	47.377	55.028	52.0648	60.3853	42.449	57.7125	54.2603	53.2285	41.0406	64.7048
sub_1254	94.756	86.3097	73.0612	100.212	79.5474	93.4575	85.6028	81.4844	76.4581	92.1529	91.7032	90.1454	66.3962	97.9856	100.061	86.6788	78.9912	98.0166
sub_1255	48.3626	40.0545	36.3998	32.4663	26.9562	46.8504	44.0221	42.6315	45.4263	36.3448	42.086	32.7789	35.5724	37.6499	48.764	44.2748	37.9888	45.2433
sub_1256	46.6433	50.8839	37.8177	47.5914	59.095	51.4416	52.2176	49.0282	44.7534	51.0213	50.5397	56.1015	39.0472	49.6511	46.6996	59.335	52.9036	57.7465
sub_1257	27.7393	29.4399	21.318	27.5676	40.568	34.1183	42.2228	32.7229	26.3466	27.6962	35.2797	28.5266	28.6146	31.3169	34.0336	40.6022	31.6219	36.5388
sub_1258	0.00252581	0.409713	1.85852	3.25613	11.0737	7.37796	6.28593	5.74864	0.00200158	2.72423	4.10165	6.75315	1.93287	7.96009	3.30461	6.76007	7.81483	5.33507
sub_1259	24.8477	15.7341	14.2612	24.2816	12.8475	22.8184	21.773	22.0536	13.5987	6.87503	18.5156	13.3818	21.6593	20.3592	24.9956	11.9457	15.2691	20.0907
sub_1260	22.5231	6.18312	7.66561	17.3745	23.3438	21.6568	11.9347	16.2031	10.6239	15.91	15.2851	13.8627	12.4013	20.5285	19.3583	15.7903	16.6357	15.9731
sub_1261	31.25	27.5963	22.8137	22.9663	17.4557	34.7695	39.5532	24.2355	27.1671	24.724	23.4088	30.9294	26.6112	27.3044	24.8021	33.293	27.228	30.8942
sub_1262	7.95006	2.58118	9.00885	4.49676	4.63184	8.13928	3.17793	4.63955	3.2761	8.12189	6.99323	5.55332	4.99086	4.26933	7.31974	6.46217	2.12824	4.98127
sub_1263	18.5034	16.9142	13.3261	15.3536	5.4889	17.1677	17.7254	13.5971	26.7254	16.2319	18.6156	18.0267	9.79482	17.2144	13.2218	26.3946	13.0138	20.4584
sub_1264	6.28563	5.78964	0.35607	3.04124	5.85081	12.1448	4.35541	7.45874	9.42122	4.42105	8.00578	2.43021	7.32016	8.35324	10.6887	9.35246	4.3029	8.70648
sub_1265	53.6379	43.6967	43.5562	52.2411	67.8431	54.1017	59.0486	50.7012	43.9648	54.0845	56.2065	55.7058	42.1435	61.1063	56.8153	51.926	52.844	66.7309
sub_1266	22.0626	14.1707	18.9124	21.4581	22.0683	19.7842	26.943	20.2734	14.9626	19.8974	19.5104	20.9215	18.3782	20.4382	17.4249	20.1515	26.9732	22.5558
sub_1267	31.7996	33.8458	29.7766	36.676	35.089	34.0683	31.5182	31.5755	29.8626	42.9823	34.338	31.2288	28.5838	32.351	36.835	31.9067	32.0369	41.1254
sub_1268	16.3157	15.827	15.5906	12.9053	19.6775	15.0854	17.1517	16.7765	13.5085	18.2973	17.0151	18.6146	10.3902	17.7828	16.5702	12.8012	19.4998	18.3981
sub_1269	64.5302	55.9775	47.9464	61.8802	70.4222	64.0373	63.1953	65.0566	48.7542	62.2281	78.8969	76.1632	37.5135	72.7018	56.5955	65.288	59.4321	84.5581
sub_1270	43.6333	41.92	33.5721	49.3497	53.8472	46.5637	44.1426	37.1328	42.7167	48.6565	45.1004	41.5887	35.7663	45.2971	50.7288	44.6572	41.0769	52.2399
sub_1271	97.4787	84.3319	90.3152	85.6753	108.462	81.1475	92.4725	90.8278	80.1349	82.6832	91.6651	128.227	80.6793	95.0444	95.3868	108.995	83.5573	98.8244
sub_1272	20.695	14.0372	20.2308	21.6139	22.9726	22.726	15.1025	19.0091	16.1975	18.1058	21.8434	16.856	15.3467	23.8924	23.4835	21.2117	17.88	14.0965
