ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1
sub_727	0.2531309700700488	0.28704956123000325	22.710814	19.87996028545169	0.3446778293763907	4.414491838622016	0.1423739	0.0	4.80589705	4.308840885	3.892413855	4.597268767	4.27454949	5.301602108	4.2273721	4.588326798	4.075041501	4.523684941	4.659091765	4.621750859
sub_728	0.01928111512063964	0.03626565762874236	27.142921	16.84772746162373	0.31855927981924137	7.748997953191562	0.82947063	0.0	7.377320297	7.335610203	7.583231547	7.914579023	7.955049536	8.355589162	7.755396379	7.49324614	7.808516075	7.788886867	7.87552308	8.053408392
sub_729	0.33320950965824664	0.36702595843852553	24.194342	12.32207702390688	0.24634336406975046	5.872903932128552	0.10632458	0.0	5.393588159	5.193387895	5.990414678	5.585633306	6.133701329	5.896407891	4.524969194	6.810273609	5.839383636	6.10631325	6.054419171	5.854515549
sub_730	0.31983655274888556	0.3534880220736414	24.723473	16.919910357879445	0.3018722109702975	6.2531050955610326	0.111416325	0.0	6.05636815	5.934953306	5.890476559	6.321812243	6.822272648	6.596155057	6.193713189	6.676483653	6.353300846	6.369261193	6.520035085	6.40816658
sub_731	0.09281468902568457	0.12189244025763912	25.73504	13.106748583851585	0.18683787977879113	4.755574612761425	0.37625256	0.0	4.561511125	4.680340743	4.896456489	4.943177183	4.866379996	4.850929534	4.665157952	4.425860259	4.667712315	5.085571817	4.621662782	4.741431599
sub_732	0.0021226915729144554	0.007512767517986623	25.15991	11.21210741392197	0.28979827364391775	5.742475704655378	0.99077797	0.0	5.306442933	5.606126844	6.048744281	5.929926389	5.848510145	5.38692854	5.560919943	5.598635705	5.984366216	5.870442801	5.952631596	5.733225045
sub_733	0.00021226915729144556	0.0018829060433815264	23.62032	19.172381981360815	0.17851420223500364	10.471527962856372	0.9979073	0.0	10.52481213	10.35270608	10.26178519	10.37556475	10.62306454	10.61818619	10.5874739	10.34926624	10.3366685	10.44032071	10.63111176	10.63795976
sub_734	0.10273827212905964	0.13269359792329563	25.035793	15.539824008653637	0.15739733327929645	5.288383863707898	0.34781963	0.0	5.17929318	5.073142288	5.237310196	5.248681288	5.557358522	5.234323361	5.23763974	4.979431563	5.303640578	5.372313515	5.264076445	5.392489854
sub_735	0.005943536404160475	0.01526244069474375	24.551891	10.550398140716002	0.2574307035821155	5.582524452489835	0.95285946	0.0	5.539061521	5.519393541	5.996813428	5.798489501	5.636711235	5.356877071	5.439224577	5.260769394	5.982420319	5.824120566	5.598271315	5.579213261
sub_736	0.042276940493879575	0.06496146652021488	26.853678	3.4191164432408496	0.13787109963130145	8.169496542703975	0.6302654	0.0	8.364566181	8.269687725	8.232573021	8.195020545	8.036377886	7.931188008	8.181624992	8.333848976	8.131329632	8.235026118	8.130412353	7.991125457
sub_737	0.00031840373593716834	0.0022341121510825726	21.793285	0.346850909282758	0.21029021847881252	9.099365315448157	0.9974727	0.0	9.277897342	9.182180944	8.968339142	8.909156876	9.060942432	9.267636251	9.317756512	9.038474795	9.010506764	8.933987833	9.259137524	9.412421509
sub_738	0.00031840373593716834	0.0022341121510825726	22.707682	6.143867628874803	0.452584277730285	6.373048504404551	0.99746215	0.0	6.135309108	6.663263399	6.819593725	6.359074313	5.571169001	6.050037939	6.596155398	6.721070497	6.656155217	6.202145352	5.93001738	6.074550477
sub_739	0.0015389513903629802	0.005890978017985089	24.643728	23.5330270091503	0.443572851330262	7.372850563839593	0.99319035	0.0	7.795544078	7.419609329	7.073033078	6.974909749	7.184749004	7.594778364	7.857685961	7.646906714	6.87963438	7.333496745	6.985771074	7.662467263
sub_740	0.06907592160192458	0.09557298222796613	23.725655	0.37760552080073573	0.1697467113205841	5.902868424914365	0.46475148	0.0	6.243424468	5.932398872	5.956183371	5.752508461	5.811144664	6.151901156	6.020705493	5.865653991	6.003435216	5.66340837	5.746052137	5.99196093
sub_741	0.11871152621524092	0.14971383152236475	23.963295	0.0	0.18665177256536322	4.881680848991543	0.30453113	0.0	4.934860197	5.167764812	4.578905876	4.606372905	4.997700997	4.93464346	5.253083994	5.047536164	4.728957637	4.736705189	4.936862103	4.688204413
sub_742	0.0010259675935753202	0.004419410767289374	26.018465	14.493385630906571	0.3000949260563447	5.448695937690458	0.9952674	0.0	5.305363479	5.224283924	5.364694411	5.737239605	5.707166156	5.37288299	5.300119031	4.995713075	5.432060512	5.499659913	5.835337549	5.55727414
sub_743	0.02862095804146324	0.04828400646346875	21.02735	19.744978990721478	0.40784920950854137	4.665409410520175	0.7380431	0.0	5.140774082	4.736369001	4.194126356	4.427927756	4.613735855	4.778730575	4.841464628	4.128601215	4.270018515	5.102882858	5.030052808	4.930219379
