ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT0.75_REP1	ZT0.75_REP2	ZT0.75_REP3	ZT1.75_REP1	ZT1.75_REP2	ZT1.75_REP3	ZT3.75_REP1	ZT3.75_REP2	ZT3.75_REP3	ZT5.75_REP1	ZT5.75_REP2	ZT5.75_REP3	ZT7.75_REP1	ZT7.75_REP2	ZT7.75_REP3	ZT9.75_REP1	ZT9.75_REP2	ZT9.75_REP3	ZT10.75_REP1	ZT10.75_REP2	ZT10.75_REP3	ZT11.5_REP1	ZT11.5_REP2	ZT11.5_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT12.75_REP1	ZT12.75_REP2	ZT12.75_REP3	ZT13.75_REP1	ZT13.75_REP2	ZT13.75_REP3	ZT15.75_REP1	ZT15.75_REP2	ZT15.75_REP3	ZT17.75_REP1	ZT17.75_REP2	ZT17.75_REP3	ZT19.75_REP1	ZT19.75_REP2	ZT19.75_REP3	ZT21.75_REP1	ZT21.75_REP2	ZT21.75_REP3	ZT22.75_REP1	ZT22.75_REP2	ZT22.75_REP3	ZT23.5_REP1	ZT23.5_REP2	ZT23.5_REP3
sub_481	636.028	602.473	648.68	653.374	746.494	684.751	738.102	792.873	537.891	725.88	463.446	683.54	542.081	580.219	622.985	758.5	562.613	532.516	518.86	426.44	516.771	510.017	554.981	455.022	379.779	529.728	359.722	487.97	305.661	371.025	381.52	413.406	428.499	378.551	297.503	407.487	391.388	517.742	324.767	513.166	533.116	388.558	457.818	349.736	465.471	568.773	405.842	461.737	606.961	565.54	498.436	494.676	520.559	607.477
sub_482	505.844	549.496	499.833	545.445	581.858	585.033	627.003	664.563	852.321	838.771	802.019	743.741	716.632	712.444	863.916	884.913	801.155	717.585	819.773	776.708	771.143	711.98	984.88	906.21	547.049	620.476	610.358	656.555	540.886	660.049	545.993	678.473	553.676	404.151	627.145	494.801	355.332	469.637	481.657	519.403	562.151	400.254	481.301	321.866	441.268	448.626	412.02	563.428	630.966	418.346	442.901	433.448	430.58	517.771
sub_483	1111.6	1320.84	1036.24	1306.97	1553.73	1333.65	1509.72	1758.01	1475.15	1599.39	1431.02	1551.47	1406.52	1440.91	1367.46	1735.51	1549.94	1342.72	1541.39	1453.97	1545.25	1314.27	1930.53	1561.88	971.769	1245.49	1225.8	1390.18	1008.77	1316.38	1113.58	1421.16	1100.02	832.792	1031.29	1000.24	841.08	1029.44	820.102	1038.29	1038.84	820.771	963.894	828.797	948.948	1016.52	909.426	1056.67	1162.73	1015.29	977.576	1021.41	1067.03	1102.82
sub_484	1023.83	1050.72	1222.17	1029.52	1045.39	1185.7	1081.16	1199.56	1415.22	1109.83	1033.98	1320.7	1058.48	1057.65	1300.72	1258.28	1117.98	1129.43	862.03	795.619	886.463	811.711	1022.71	898.628	566.766	687.584	596.874	658.716	517.212	703.561	592.085	638.644	634.217	436.234	619.847	601.154	618.574	515.086	547.561	738.777	743.469	514.16	750.265	773.467	839.91	804.501	773.53	983.4	1124.28	665.652	953.948	972.794	612.401	931.933
sub_485	302.276	294.029	271.413	271.589	333.241	290.879	348.606	386.041	376.474	391.178	319.841	362.049	297.5	340.579	372.505	361.017	355.296	365.147	272.436	286.025	306.623	273.411	296.59	341.474	185.43	265.541	235.443	232.977	203.137	188.33	220.811	268.778	200.231	148.525	171.687	182.646	199.722	168.622	148.555	209.381	208.998	139.987	159.295	156.556	188.257	201.101	200.11	241.586	267.005	203.371	219.221	240.234	190.188	202.766
sub_486	1284	1290.92	1131.57	1257.14	1346.2	1192.69	1364.15	1504.58	1471.91	1478.66	1152.48	1430.25	1358.16	1289.36	1091.04	1626.43	1670.4	1542.97	1554.45	1374.87	1591.35	1446.88	1905.81	1906.92	1011.18	1475.87	1461.26	1475.38	1177.47	1654.33	1303.06	1545.48	1330.23	884.43	1432.51	1191.17	1041.41	1223.31	897.695	1095.05	1273.82	1009.95	972.204	993.535	990.531	1141.28	656.002	1198.39	1270.62	905.633	985.517	1071.41	1049.54	1048.31
sub_487	1522.48	1329.33	1067.82	1598.8	1809.9	1453.63	1435.7	1677.34	1588.23	1337.86	1523.91	1352.88	1066.72	1091.44	1343.33	1382.61	1151.31	1122.09	983.521	976.74	923.026	842.865	1456.68	1117.24	603.779	861.794	772.34	974.116	746.877	897.828	685.864	1022.32	1052.88	572.144	890.327	662.369	732.152	939.873	812.587	889.175	1013.5	859.62	865.225	928.112	858.551	1052.95	991.774	1240.78	1568.97	1407.93	1341.62	1256.17	1194.36	1492.8
sub_488	2383.73	2341.37	1991.94	2399.68	2746.08	2946.04	3237.4	3551.76	3601.44	3668	3461.93	3710.52	3382.42	3273.62	3457.22	3900.67	3544.52	3591.32	3757.55	3362.42	3411.89	3293.28	4245.97	3483.7	2247.59	2718.01	2941.51	2993.71	2304.63	2857.4	2278.35	2926.76	2103.4	1713.24	2220.65	2020.74	1540.26	1640.11	1678.02	2046.21	2087.91	1390.38	1776.76	1602.42	1792.14	2003.4	1604.74	2040.42	2521.07	1833.09	2011.43	1902.35	1959.64	2193.05
sub_489	137.747	138.861	104.337	128.771	180.228	127.068	165.017	165.371	140.645	180.117	159.685	150.712	131.53	144.75	163.155	148.38	173.595	121.93	145.736	137.615	127.959	131.102	160.986	131.669	82.3131	121.891	117.69	137.829	74.8222	117.813	106.401	119.952	110.975	91.482	108.441	70.2319	82.6772	58.1366	86.2161	97.5717	79.1549	68.2923	72.1275	88.7945	94.3824	110.245	75.1171	102.501	139.301	83.602	105.559	85.6861	80.7554	117.626
sub_490	1157.05	1254.28	981.401	1156.01	1312.26	1179.72	1154.55	1296.84	1384.7	1232.25	1314.12	1163.66	1118.52	1060.47	1152.25	1303.12	1312.18	1305.25	1123.22	1046.38	1186.09	1043.08	1202.07	1217.07	663.059	1046.94	939.769	1092.76	689.58	972.389	788.976	966.515	902.222	712.302	853.827	772.194	712.897	848.2	711.226	900.607	893.216	653.673	798.003	758.292	825.391	844.926	655.543	978.65	1248.21	809.152	1008.41	923.502	1020.41	1223.11
