ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1	TP_48_REP_1
sub_784	0.049334889973820135	0.08682940635392344	21.353106	2.378916608499693	122.58793204681518	1834.2531351335276	0.60816914	0.0	1917.34	2033.15	1825.51	1717.53	1900.77	1795.03	2049.41	1957.37	1659.07	1906.75	1826.42	1947.48	1887.78
sub_785	0.03900445765230312	0.07101501255315879	22.825998	1.4531481845803216	120.55793442818866	1373.6652080971064	0.7022558	0.0	1747.04	1585.28	1430.91	1231.27	1295.25	1413.41	1512.7	1386.34	1220.32	1387.36	1370.09	1303.75	1443.39
sub_786	0.00012382367508667657	0.003189214655890986	25.201921	4.813212451502642	61.10410757306461	179.4406712193511	0.9985378	0.0	219.376	185.231	259.492	163.65	130.936	170.085	183.784	240.76	231.509	193.742	126.885	119.736	165.212
sub_787	0.0012736149437486733	0.006691230749246762	23.58634	9.009318222186522	865.3578768161569	4264.262847840711	0.993923	0.0	2561.13	4615.45	5236.38	4655.21	3683.51	3461.89	4183.39	4558.19	5368.45	4745.37	3915.25	3751.02	3699.29
sub_788	0.0007252529540791057	0.005355714122430319	23.085905	0.0	75.11366779650047	766.4733322034995	0.99677086	0.0	841.587	777.481	723.202	656.406	720.844	833.371	891.046	790.694	710.288	729.804	806.185	773.379	802.73
sub_789	0.0020519351871506404	0.008380999731233348	25.768385	9.4326814266105	82.43370847647864	514.9282601277479	0.9895281	0.0	419.974	525.716	649.353	581.596	491.773	432.416	487.67	530.333	573.501	595.72	568.167	524.221	464.716
sub_790	0.10556852755961225	0.17072031409333926	23.325369	20.046677887200193	75.84802041333305	757.944173550203	0.296205	0.0	1069.59	692.284	665.155	838.094	884.483	1335.25	696.284	716.912	705.63	711.652	644.839	795.736	805.54
sub_791	0.0025118516946154392	0.009372614299493163	22.626406	8.64265035382787	34.292865451297956	360.6813753035418	0.98752844	0.0	332.26	384.959	381.79	380.181	368.962	333.736	349.079	399.817	405.13	351.792	321.121	329.012	347.272
sub_792	0.27060779735371115	0.3851237655060903	20.47677	17.924385753324145	39.47405179603338	370.2288349635396	0.053441647	0.0	408.66	360.929	294.831	393.936	355.77	447.479	353.395	322.17	388.115	367.851	405.047	335.03	349.873
sub_793	0.004210004952947003	0.01263001485884101	24.551716	21.882150858664577	128.3700357762621	1119.1175184471435	0.9786966	0.0	1351.98	1100.21	1061.03	1014.09	1261.51	1408.64	1207.38	1103.32	1132.23	997.175	1075.58	1232.21	1221.75
